"","Team","Position","Injury","Injury Status","Date","Short_Name","Full_Name"
"411","NYG","DB","Pectoral","IR. Injured Reserve",2021-08-16,"J. Kalu","Joshua Kalu"
"412","TEN","LB","Ankle","IR. Injured Reserve",2021-08-15,"B. Bello","B.J. Bello"
"413","GB","LB","Leg","IR. Injured Reserve",2021-08-13,"R. Ramsey","Randy Ramsey"
"414","ATL","DT","Undisclosed","IR. Injured Reserve",2021-08-09,"D. Senat","Deadrin Senat"
"415","NE","TE","Knee - Meniscus","IR. Injured Reserve",2021-08-07,"D. Keene","Dalton Keene"
"416","NE","MLB","Knee - ACL","IR. Injured Reserve",2021-08-07,"R. McMillan","Raekwon McMillan"
"417","NYG","TE","Achilles","IR. Injured Reserve",2021-08-07,"L. Toilolo","Levine Toilolo"
"418","ATL","TE","Knee","IR. Injured Reserve",2021-08-05,"J. Graham","Jaeden Graham"
"419","PIT","CB","Knee - ACL","IR. Injured Reserve",2021-08-05,"D. Acy","DeMarkus Acy"
"420","MIN","WR","Knee - ACL","IR. Injured Reserve",2021-08-04,"B. Johnson","Bisi Johnson"
"421","NO","TE","Undisclosed","IR. Injured Reserve",2021-08-04,"D. Soehner","Dylan Soehner"
"422","BAL","DT","Achilles","IR. Injured Reserve",2021-07-28,"X. Kelly","Xavier Kelly"
"423","BUF","DE","Achilles","IR. Injured Reserve",2021-07-28,"B. Cox","Bryan Cox"
"424","DEN","WR","Knee - ACL","NFI-R for Week 8 vs. Washington",2021-07-28,"D. Hamilton","DaeSean Hamilton"
"425","DET","DE","Knee - ACL","IR. Injured Reserve",2021-07-28,"J. Heath","Joel Heath"
