"","Team","Position","Injury","Injury Status","Date","Short_Name","Full_Name"
"226","DEN","ILB","Pectoral","IR. Injured Reserve",2021-10-19,"A. Johnson","A.J. Johnson"
"227","NE","DE","Hamstring","IR. Injured Reserve. Expected Return - Week 10",2021-10-19,"C. Winovich","Chase Winovich"
"228","NYG","OT","Ankle","IR. Injured Reserve. Expected Return - Week 11",2021-10-19,"A. Thomas","Andrew Thomas"
"229","TEN","CB","Knee - ACL","IR. Injured Reserve",2021-10-19,"C. Farley","Caleb Farley"
"230","TEN","WR","Knee - ACL","IR. Injured Reserve",2021-10-19,"C. Batson","Cameron Batson"
"231","BUF","WR","Head","IR. Injured Reserve. Expected Return - Week 8",2021-10-18,"M. Stevenson","Marquez Stevenson"
"232","DAL","DE","Ankle","Limited Practice on Thursday. Questionable for Week 8 at Minnesota",2021-10-18,"D. Armstrong","Dorance Armstrong"
"233","JAC","CB","Toe","Limited Practice on Thursday. Questionable for Week 8 at Seattle",2021-10-18,"T. Campbell","Tyson Campbell"
"234","LAC","LB","Chest","Limited Practice on Thursday. Questionable for Week 8 vs. New England",2021-10-18,"D. Tranquill","Drue Tranquill"
"235","LAR","RB","Hamstring","IR. Injured Reserve",2021-10-18,"J. Funk","Jake Funk"
"236","LAR","TE","Knee - ACL","IR. Injured Reserve",2021-10-18,"J. Mundt","Johnny Mundt"
"237","MIN","CB","Hamstring","IR. Injured Reserve. Expected Return - Week 11",2021-10-18,"P. Peterson","Patrick Peterson"
"238","MIN","DT","Elbow","Did Not Practice on Thursday. Questionable for Week 8 vs. Dallas",2021-10-18,"M. Pierce","Michael Pierce"
"239","MIN","TE","Knee","Limited Practice on Wednesday. Questionable for Week 8 vs. Dallas",2021-10-18,"B. Ellefson","Ben Ellefson"
"240","NO","WR","Ankle","Physically Unable to Perform. Expected Return - Week 8",2021-10-18,"M. Thomas","Michael Thomas"
"241","PIT","DT","Knee","Questionable for Week 8 at Cleveland",2021-10-18,"C. Davis","Carlos Davis"
"242","TEN","CB","Hamstring","IR. Injured Reserve. Expected Return - Week 9",2021-10-18,"K. Fulton","Kristian Fulton"
"243","DAL","TE","Ankle","IR. Injured Reserve. Expected Return - Week 8",2021-10-17,"S. McKeon","Sean McKeon"
"244","DAL","QB","Calf","Limited Practice on Thursday. Questionable for Week 8 at Minnesota",2021-10-17,"D. Prescott","Dak Prescott"
"245","DAL","CB","Groin","IR. Injured Reserve. Expected Return - Week 8",2021-10-17,"K. Joseph","Kelvin Joseph"
"246","DAL","OT","Ankle","IR. Injured Reserve. Expected Return - Week 8",2021-10-17,"J. Ball","Josh Ball"
"247","HOU","OT","Back","IR. Injured Reserve",2021-10-17,"M. Cannon","Marcus Cannon"
"248","JAC","DT","Hand","Did Not Practice on Thursday. Questionable for Week 8 at Seattle",2021-10-17,"J. Tufele","Jay Tufele"
"249","PIT","DE","Undisclosed","IR. Injured Reserve. Expected Return - Week 8",2021-10-17,"S. Tuitt","Stephon Tuitt"
"250","ARI","C","Ribs","IR. Injured Reserve. Expected Return - Week 9",2021-10-16,"R. Hudson","Rodney Hudson"
"251","CAR","OG","Knee","IR. Injured Reserve. Expected Return - Week 9",2021-10-16,"D. Brown","Deonte Brown"
"252","CAR","RB","Hamstring","IR. Injured Reserve. Expected Return - Week 9",2021-10-16,"C. McCaffrey","Christian McCaffrey"
"253","CIN","OT","Knee","IR. Injured Reserve. Expected Return - Week 9",2021-10-16,"D. Smith","D'Ante Smith"
"254","DEN","DB","Knee","IR. Injured Reserve. Expected Return - Week 9",2021-10-16,"M. Ford","Mike Ford"
"255","HOU","OT","Thumb","IR. Injured Reserve. Expected Return - Week 11",2021-10-16,"L. Tunsil","Laremy Tunsil"
"256","IND","K","Hip","IR. Injured Reserve. Expected Return - Week 9",2021-10-16,"R. Blankenship","Rodrigo Blankenship"
"257","PIT","WR","Shoulder","IR. Injured Reserve",2021-10-16,"J. Smith-Schuster","JuJu Smith-Schuster"
"258","CAR","CB","Foot","IR. Injured Reserve. Expected Return - Week 16",2021-10-15,"J. Horn","Jaycee Horn"
"259","DET","DB","Hamstring","IR. Injured Reserve. Expected Return - Week 10",2021-10-15,"C. Ballentine","Corey Ballentine"
"260","NYG","LB","Ankle","IR. Injured Reserve. Expected Return - Week 9",2021-10-15,"J. Hilliard","Justin Hilliard"
"261","SEA","RB","Neck","IR. Injured Reserve. Expected Return - Week 10",2021-10-15,"C. Carson","Chris Carson"
"262","SEA","QB","Finger","IR. Injured Reserve. Expected Return - Week 10",2021-10-15,"R. Wilson","Russell Wilson"
"263","WAS","LB","Shoulder","IR. Injured Reserve. Expected Return - Week 10",2021-10-15,"J. Norris","Jared Norris"
"264","CAR","P","Back","IR. Injured Reserve. Expected Return - Week 9",2021-10-14,"J. Charlton","Joseph Charlton"
"265","LAC","OT","Back","IR. Injured Reserve. Expected Return - Week 8",2021-10-14,"B. Bulaga","Bryan Bulaga"
"266","NYG","CB","Knee - ACL","IR. Injured Reserve",2021-10-14,"R. Williams","Rodarius Williams"
"267","ARI","LB","Shoulder","IR. Injured Reserve. Expected Return - Week 9",2021-10-13,"Z. Turner","Zeke Turner"
"268","ARI","TE","Knee","IR. Injured Reserve",2021-10-13,"M. Williams","Maxx Williams"
"269","CHI","OT","Knee","IR. Injured Reserve. Expected Return - Week 9",2021-10-13,"G. Ifedi","Germain Ifedi"
"270","CHI","LB","Pectoral","IR. Injured Reserve",2021-10-13,"J. Attaochu","Jeremiah Attaochu"
"271","DET","WR","Collarbone","IR. Injured Reserve",2021-10-13,"Q. Cephus","Quintez Cephus"
"272","DET","C","Toe","IR. Injured Reserve",2021-10-13,"F. Ragnow","Frank Ragnow"
"273","LAC","OG","Knee - ACL","IR. Injured Reserve",2021-10-13,"O. Aboushi","Oday Aboushi"
"274","SF","RB","Knee - Meniscus","Physically Unable to Perform. Expected Return - Week 11",2021-10-13,"J. Wilson","Jeff Wilson"
"275","SF","RB","Knee - Meniscus","IR. Injured Reserve",2021-10-13,"R. Mostert","Raheem Mostert"
"276","SF","WR","Knee","IR. Injured Reserve. Expected Return - Week 8",2021-10-13,"J. Hurd","Jalen Hurd"
"277","WAS","CB","Quadriceps","IR. Injured Reserve. Expected Return - Week 10",2021-10-13,"D. Roberts","Darryl Roberts"
"278","BAL","OG","Knee","IR. Injured Reserve. Expected Return - Week 10",2021-10-12,"B. Cleveland","Ben Cleveland"
"279","CLE","OT","Triceps","IR. Injured Reserve",2021-10-12,"C. Hubbard","Chris Hubbard"
"280","CLE","CB","Hamstring","IR. Injured Reserve. Expected Return - Week 9",2021-10-12,"M. Stewart","M.J. Stewart"
"281","CLE","FB","Hamstring","IR. Injured Reserve. Expected Return - Week 9",2021-10-12,"A. Janovich","Andy Janovich"
"282","JAC","C","Knee - MCL","IR. Injured Reserve. Expected Return - Week 9",2021-10-12,"B. Linder","Brandon Linder"
"283","KC","RB","Knee - MCL","IR. Injured Reserve. Expected Return - Week 9",2021-10-12,"C. Edwards-Helaire","Clyde Edwards-Helaire"
"284","LAR","DB","Ankle","IR. Injured Reserve. Expected Return - Week 9",2021-10-12,"D. Williams","Darious Williams"
"285","CIN","OLB","Knee","IR. Injured Reserve",2021-10-11,"J. Evans","Jordan Evans"
"286","DAL","DE","Foot","IR. Injured Reserve. Expected Return - Week 10",2021-10-11,"D. Lawrence","DeMarcus Lawrence"
"287","CHI","RB","Knee","IR. Injured Reserve. Expected Return - Week 8",2021-10-09,"D. Montgomery","David Montgomery"
"288","CIN","OG","Knee","IR. Injured Reserve. Expected Return - Week 8",2021-10-09,"X. Su'a-Filo","Xavier Su'a-Filo"
"289","GB","CB","Shoulder - AC Joint","IR. Injured Reserve. Expected Return - Week 8",2021-10-09,"J. Alexander","Jaire Alexander"
"290","LV","CB","Groin","IR. Injured Reserve. Expected Return - Week 9",2021-10-09,"D. Arnette","Damon Arnette"
"291","LV","CB","Toe","IR. Injured Reserve. Expected Return - Week 9",2021-10-09,"T. Mullen","Trayvon Mullen"
"292","LV","TE","Pectoral","IR. Injured Reserve. Expected Return - Week 9",2021-10-09,"D. Carrier","Derek Carrier"
"293","NE","OT","Calf","IR. Injured Reserve. Expected Return - Week 8",2021-10-09,"T. Brown","Trent Brown"
"294","SF","TE","Calf","IR. Injured Reserve. Expected Return - Week 9",2021-10-09,"G. Kittle","George Kittle"
"295","ARI","OT","Back","IR. Injured Reserve. Expected Return - Week 8",2021-10-08,"J. Murray","Justin Murray"
"296","TEN","C","Knee","IR. Injured Reserve. Expected Return - Week 8",2021-10-08,"A. Brewer","Aaron Brewer"
"297","TEN","TE","Ankle","IR. Injured Reserve. Expected Return - Week 8",2021-10-08,"T. Hudson","Tommy Hudson"
"298","TEN","WR","Quadriceps","IR. Injured Reserve. Expected Return - Week 8",2021-10-08,"R. McMath","Racey McMath"
"299","TEN","ILB","Knee","IR. Injured Reserve. Expected Return - Week 8",2021-10-08,"J. Brown","Jayon Brown"
"300","GB","LB","Knee - ACL","IR. Injured Reserve",2021-10-07,"C. Rivers","Chauncey Rivers"
"301","SEA","WR","Concussion","IR. Injured Reserve. Expected Return - Week 8",2021-10-07,"D. Eskridge","D'Wayne Eskridge"
"302","TB","CB","Quadriceps","IR. Injured Reserve. Expected Return - Week 8",2021-10-07,"C. Davis","Carlton Davis"
"303","CLE","C","Hamstring","IR. Injured Reserve. Expected Return - Week 8",2021-10-06,"N. Harris","Nick Harris"
"304","NE","DE","Pectoral","IR. Injured Reserve",2021-10-06,"H. Anderson","Henry Anderson"
"305","NO","RB","Ankle","IR. Injured Reserve. Expected Return - Week 9",2021-10-06,"T. Jones","Tony Jones"
"306","WAS","TE","Hamstring","IR. Injured Reserve. Expected Return - Week 8",2021-10-06,"L. Thomas","Logan Thomas"
"307","ATL","CB","Knee","IR. Injured Reserve",2021-10-05,"I. Oliver","Isaiah Oliver"
"308","ATL","P","Hamstring","IR. Injured Reserve. Expected Return - Week 9",2021-10-05,"C. Nizialek","Cameron Nizialek"
"309","DET","LB","Achilles","IR. Injured Reserve",2021-10-05,"R. Okwara","Romeo Okwara"
"310","KC","DE","Ankle","IR. Injured Reserve. Expected Return - Week 11",2021-10-05,"J. Kaindoh","Joshua Kaindoh"
"311","NYJ","OLB","Undisclosed","IR. Injured Reserve. Expected Return - Week 9",2021-10-05,"H. Nasirildeen","Hamsah Nasirildeen"
"312","SF","K","Groin","IR. Injured Reserve. Expected Return - Week 9",2021-10-05,"R. Gould","Robbie Gould"
"313","WAS","ILB","Pectoral","IR. Injured Reserve",2021-10-05,"J. Bostic","Jon Bostic"
"314","WAS","CB","Knee - ACL","IR. Injured Reserve",2021-10-05,"T. McTyer","Torry McTyer"
"315","JAC","WR","Ankle","IR. Injured Reserve",2021-10-04,"D. Chark","D.J. Chark"
"316","DEN","WR","Knee - ACL","IR. Injured Reserve",2021-10-03,"K. Hamler","K.J. Hamler"
"317","TEN","LB","Lower Leg","IR. Injured Reserve",2021-10-03,"R. Weaver","Rashad Weaver"
"318","GB","OLB","Back","IR. Injured Reserve. Expected Return - Week 14",2021-10-01,"Z. Smith","Za'Darius Smith"
"319","NE","RB","Hip","IR. Injured Reserve",2021-10-01,"J. White","James White"
